"Part";"Value";"Device";"Package";"Description";"SPICEPREFIX";
"C1";"2.2nF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"C";
"C2";"1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"C";
"C3";"1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"C";
"C4";"1uF";"C-US050-024X044";"C050-024X044";"CAPACITOR, American symbol";"C";
"C5";"1uF";"C-US050-024X044";"C050-024X044";"CAPACITOR, American symbol";"C";
"C6";"1uF";"C-US050-024X044";"C050-024X044";"CAPACITOR, American symbol";"C";
"C7";"10uF";"CPOL-USE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, American symbol";"C";
"C8";"10uF";"CPOL-USE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, American symbol";"C";
"COARSE";"100k";"3RP/1610N";"3RP/1610N";"16mm Potentiometer one level";"";
"CVIN";"";"PINHD-1X2";"1X02";"PIN HEADER";"";
"D1";"4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D2";"4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"FINE";"1M";"3RP/1610N";"3RP/1610N";"16mm Potentiometer one level";"";
"FMAMT";"1M";"3RP/1610N";"3RP/1610N";"16mm Potentiometer one level";"";
"FMIN";"";"PINHD-1X2";"1X02";"PIN HEADER";"";
"IC1";"TL074P";"TL074P";"DIL14";"OP AMP";"";
"IC2";"40106N";"40106N";"DIL14";"Hex SCHMITT TRIGGER";"";
"JP4";"";"PINHD-2X5";"2X05";"PIN HEADER";"";
"MIX";"1M";"3RP/1610N";"3RP/1610N";"16mm Potentiometer one level";"";
"OUT";"";"PINHD-1X2";"1X02";"PIN HEADER";"";
"PW";"100k";"3RP/1610N";"3RP/1610N";"16mm Potentiometer one level";"";
"Q1";"BC548";"BC548";"TO92-EBC";"NPN Transistor";"";
"Q2";"BC558A";"BC558A";"TO92-EBC";"PNP Transistror";"";
"R6";"1k";"TRIM_US-B64Y";"B64Y";"POTENTIOMETER";"";
"R7";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R8";"1M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R9";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R10";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R11";"1k5";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R12";"1M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R13";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R14";"33k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R15";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R16";"20k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R17";"200k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R18";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R19";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R20";"20k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R21";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R22";"20k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"R";
"R23";"THERM";"THERMISTOR-2,5";"RS-2,5";"THERMISTOR";"";
"R24";"THERM";"THERMISTOR-2,5";"RS-2,5";"THERMISTOR";"";
"R25";"THERM";"THERMISTOR-2,5";"RS-2,5";"THERMISTOR";"";
"R26";"THERM";"THERMISTOR-2,5";"RS-2,5";"THERMISTOR";"";
